DataHora,Satelite,Pais,Estado,Municipio,Bioma,DiaSemChuva,Precipitacao,RiscoFogo,FRP,Latitude,Longitude
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,SÍTIO NOVO,Cerrado,4.0,2.0,0.41,32.3,-6.13076,-46.47622
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,PORTO FRANCO,Cerrado,4.0,0.0,1.0,13.6,-6.23143,-47.08597
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,JENIPAPO DOS VIEIRAS,Cerrado,10.0,0.05,0.9,12.8,-5.35048,-45.7285
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,SÍTIO NOVO,Cerrado,4.0,0.1,0.69,13.5,-6.48012,-46.473
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,CAMPESTRE DO MARANHÃO,Cerrado,3.0,0.7,1.0,6.0,-6.16119,-47.30231
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,AMARANTE DO MARANHÃO,Cerrado,2.0,2.43,0.34,12.9,-5.39207,-46.6717
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,FORMOSA DA SERRA NEGRA,Cerrado,0.0,0.12,0.56,11.7,-6.37089,-46.36671
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,FERNANDO FALCÃO,Cerrado,2.0,1.44,0.15,17.4,-6.07489,-45.30696
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,ESTREITO,Cerrado,0.0,0.57,0.91,11.7,-6.5727,-47.33568
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,SÍTIO NOVO,Cerrado,6.0,0.1,0.73,11.4,-6.51006,-46.60689
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,AÇAILÂNDIA,Amazônia,13.0,0.8,0.99,15.9,-4.52509,-46.91853
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,FERNANDO FALCÃO,Cerrado,2.0,2.07,0.46,44.3,-6.11764,-45.3771
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,BURITICUPU,Amazônia,67.0,0.9,1.0,19.9,-4.15556,-46.43913
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,LAGO DA PEDRA,Cerrado,4.0,0.0,0.95,14.5,-4.83475,-45.29658
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,AÇAILÂNDIA,Amazônia,8.0,0.0,1.0,13.7,-4.94281,-47.55739
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,FORMOSA DA SERRA NEGRA,Cerrado,4.0,0.1,0.49,33.0,-6.47853,-46.46252
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,SANTA LUZIA,Amazônia,9.0,0.1,1.0,16.4,-4.07828,-45.86002
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,LAGOA GRANDE DO MARANHÃO,Cerrado,6.0,0.3,1.0,16.8,-5.03298,-45.38689
2025/10/20 18:17:00,AQUA_M-T,Brasil,MARANHÃO,LAGO DA PEDRA,Cerrado,6.0,0.0,1.0,21.5,-4.79024,-45.29008
